company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/red,(RED),|Nonprofits|,Nonprofits,USA,NY,New York City,New York,/organization/nationstar-mortgage-holdings,Nationstar Mortgage Holdings,|Finance|,Finance,USA,TX,Dallas,Lewisville,5/8/2014 0:00,2014-05,2014-Q2,2014,18000000,USD
/organization/co-internet,.CO,|Registrars|Domains|Curated Web|,Registrars,USA,FL,Miami,Miami,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,"Washington, D.C.",Sterling,3/20/2014 0:00,2014-03,2014-Q1,2014,109000000,USD
/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,9/8/2009 0:00,2009-09,2009-Q3,2009,43000000,USD
/organization/1st-united-bancorp,1st United Bancorp,|Banking|,Banking,,,,,/organization/valley-national-bancorp,Valley National Bancorp,|Banking|,Banking,USA,NV,Las Vegas,Las Vegas,5/8/2014 0:00,2014-05,2014-Q2,2014,300000000,USD
/organization/24-7-real-media,24/7 Real Media,|Media|Advertising|,Media,USA,NY,New York City,New York,/organization/wpp,WPP,|Public Relations|,Public Relations,GBR,,London,London,5/17/2008 0:00,2008-05,2008-Q2,2008,649000000,USD
/organization/280-north,280 North,|Presentations|Software|,Software,,,,,/organization/motorola-mobility,Motorola Mobility,|Mobile|,Mobile,USA,IL,Chicago,Libertyville,7/1/2010 0:00,2010-07,2010-Q3,2010,20000000,USD
/organization/280-north,280 North,|Presentations|Software|,Software,,,,,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,7/1/2010 0:00,2010-07,2010-Q3,2010,20000000,USD
/organization/2nd-story-software-inc,"2nd Story Software, Inc.",|Software|,Software,USA,IA,Cedar Rapids,Cedar Rapids,/organization/blucora,Blucora,|Internet|,Internet,USA,WA,Seattle,Bellevue,1/9/2012 0:00,2012-01,2012-Q1,2012,287500000,USD
/organization/2wire,2Wire,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Jose,/organization/pace,Pace,|Hardware + Software|,Hardware + Software,DEU,,DEU - Other,England,7/26/2010 0:00,2010-07,2010-Q3,2010,475000000,USD
/organization/3com,3Com,|Curated Web|,Curated Web,USA,MA,Boston,Marlborough,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,11/11/2009 0:00,2009-11,2009-Q4,2009,2700000000,USD
/organization/3e-company,3E Company,|Clean Technology|,Clean Technology,USA,CA,San Diego,Carlsbad,/organization/verisk-analytics,Verisk Analytics,|Technology|Public Relations|,Technology,USA,NJ,Newark,Jersey City,12/7/2010 0:00,2010-12,2010-Q4,2010,110000000,USD
/organization/3par,3PAR,|Services|Cloud Data Services|Software|,Services,USA,CA,SF Bay Area,Fremont,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,9/2/2010 0:00,2010-09,2010-Q3,2010,2350000000,USD
/organization/3rd-federal-bank,3rd Federal Bank,|Banking|,Banking,USA,PA,Philadelphia,Newtown,/organization/national-penn-bancshares,National Penn Bancshares,|Banking|,Banking,USA,PA,Allentown,Allentown,6/4/2014 0:00,2014-06,2014-Q2,2014,138000000,USD
/organization/3tier-environmental-forecast-group,3TIER,|Clean Technology|,Clean Technology,USA,WA,Seattle,Seattle,/organization/vaisala,Vaisala,,,FIN,,Vantaa,Vantaa,12/17/2013 0:00,2013-12,2013-Q4,2013,14700000,USD
/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,10/1/2013 0:00,2013-10,2013-Q4,2013,324000000,USD
/organization/4m-wireless,4M Wireless,|Mobile|,Mobile,GBR,,London,Luton,/organization/u-blox-ag,u-blox AG,,,,,,,4/24/2012 0:00,2012-04,2012-Q2,2012,9000000,USD
/organization/56-com,56.com,|Photography|,Photography,CHN,,Guangzhou,Guangzhou,/organization/renren-inc,Renren Inc.,|Technology|Social Media|Curated Web|,Technology,CHN,,CHN - Other,Chaoyang,9/26/2011 0:00,2011-09,2011-Q3,2011,80000000,USD
/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,9/28/2010 0:00,2010-09,2010-Q3,2010,65000000,USD
/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,5/1/2011 0:00,2011-05,2011-Q2,2011,30000000,USD
/organization/91-wireless,91 Wireless,|Mobile|,Mobile,CHN,,Fuzhou Shi,Fuzhou Shi,/organization/baidu,Baidu,|Search|,Search,CHN,,Beijing,Beijing,7/15/2013 0:00,2013-07,2013-Q3,2013,1900000000,USD
/organization/a-s-services-group,A&S Services Group,|Services|Logistics|Transportation|,Transportation,USA,PA,PA - Other,New Freedom,/organization/celadon-group,Celadon Group,|Transportation|,Transportation,USA,IN,Indianapolis,Indianapolis,10/27/2014 0:00,2014-10,2014-Q4,2014,74900000,USD
/organization/aapt,AAPT,|Public Relations|,Public Relations,AUS,,Sydney,Sydney,/organization/tpg-internet,TPG Internet,|Mobile|,Mobile,NOR,,Aust-Agder,,12/9/2013 0:00,2013-12,2013-Q4,2013,450000000,USD
/organization/aardvark,Aardvark,|Search|,Search,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2/11/2010 0:00,2010-02,2010-Q1,2010,50000000,USD
/organization/aaren-scientific,Aaren Scientific,|Manufacturing|,Manufacturing,USA,CA,Ontario - Inland Empire,Ontario,/organization/carl-zeiss,Carl Zeiss,|Hardware + Software|,Hardware + Software,DEU,,DEU - Other,Oberkochen,1/7/2014 0:00,2014-01,2014-Q1,2014,70000000,USD
/organization/abaxia,Abaxia,|Software|,Software,FRA,,Neuilly-sur-seine,Neuilly-sur-seine,/organization/htc,HTC Corp,|Hardware + Software|,Hardware + Software,TWN,,TWN - Other,Taoyüan,6/7/2010 0:00,2010-06,2010-Q2,2010,13000000,USD
/organization/abc-sports-management,ABC Sports Management,|Sports|,Sports,GBR,,GBR - Other,Wandsworth,/organization/chime-communications-plc,Chime Communications PLC,,,GBR,,London,London,9/24/2014 0:00,2014-09,2014-Q3,2014,810000,GBP
/organization/abfrontier,Abfrontier,|Biotechnology|,Biotechnology,KOR,,Seoul,Seoul,/organization/young-in-frontier,Young in Frontier,|Biotechnology|,Biotechnology,,,,,2/12/2008 0:00,2008-02,2008-Q1,2008,23650000,USD
/organization/about-com,About.com,|Curated Web|,Curated Web,,,,,/organization/iac,IAC,|News|,News,USA,NY,New York City,New York,8/27/2012 0:00,2012-08,2012-Q3,2012,300000000,USD
/organization/abovenet,AboveNet,|Information Technology|Internet|Service Providers|Services|Web Hosting|,Internet,USA,NY,New York City,White Plains,/organization/zayo-group,Zayo,|Telecommunications|Mobile Infrastructure|Internet|Data Centers|Mobile|,Internet,,,,,3/19/2012 0:00,2012-03,2012-Q1,2012,2300000000,USD
